Asset,Asset Type,Primary Command,PRD Command,Parent,Paired Asset,Namespaces,Destination
"dependency-audit-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","dependency-audit-stinger","honeybee-core, danger-zone","agents/dependency-audit-worker-bee.md"
"design-system-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","design-system-stinger","websites","agents/design-system-worker-bee.md"
"devops-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","devops-stinger","honeybee-core, web-apps","agents/devops-worker-bee.md"
"discord-bot-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","discord-bot-stinger","honeybee-core","agents/discord-bot-worker-bee.md"
"docs-site-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","docs-site-stinger","websites, 101-tutorials","agents/docs-site-worker-bee.md"
"doppler-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","doppler-stinger","honeybee-core","agents/doppler-worker-bee.md"
"embeddings-runtime-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","embeddings-runtime-stinger","web-apps","agents/embeddings-runtime-worker-bee.md"
"estimation-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","estimation-stinger","honeybee-core","agents/estimation-worker-bee.md"
"font-loading-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","font-loading-stinger","websites","agents/font-loading-worker-bee.md"
"git-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","git-stinger","honeybee-core, danger-zone","agents/git-worker-bee.md"
"github-repo-health-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","github-repo-health-stinger","honeybee-core, danger-zone","agents/github-repo-health-worker-bee.md"
"gohighlevel-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","gohighlevel-stinger","web-apps","agents/gohighlevel-worker-bee.md"
"harness-integration-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","harness-integration-stinger","web-apps, my-computer","agents/harness-integration-worker-bee.md"
"highlevel-ai-studio-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","highlevel-ai-studio-stinger","honeybee-core","agents/highlevel-ai-studio-worker-bee.md"
"http-rest-fundamentals-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","http-rest-fundamentals-stinger","honeybee-core","agents/http-rest-fundamentals-worker-bee.md"
"icon-system-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","icon-system-stinger","web-apps","agents/icon-system-worker-bee.md"
"image-optimization-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","image-optimization-stinger","websites","agents/image-optimization-worker-bee.md"
"impeccable-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","impeccable-stinger","websites","agents/impeccable-worker-bee.md"
"kanban-flow-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","kanban-flow-stinger","honeybee-core","agents/kanban-flow-worker-bee.md"
"knowledge-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","knowledge-stinger","honeybee-core, 101-tutorials","agents/knowledge-worker-bee.md"
"library-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","library-stinger","honeybee-core, 101-tutorials","agents/library-worker-bee.md"
"lifecycle-email-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","lifecycle-email-stinger","marketing","agents/lifecycle-email-worker-bee.md"
"lighthouse-pagespeed-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","lighthouse-pagespeed-stinger","honeybee-core","agents/lighthouse-pagespeed-worker-bee.md"
"markdown-mdx-content-pipeline-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","markdown-mdx-content-pipeline-stinger","websites","agents/markdown-mdx-content-pipeline-worker-bee.md"
"mcp-protocol-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","mcp-protocol-stinger","web-apps","agents/mcp-protocol-worker-bee.md"
"mcp-tool-docs-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","mcp-tool-docs-stinger","honeybee-core","agents/mcp-tool-docs-worker-bee.md"
"mind-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","mind-stinger","honeybee-core","agents/mind-worker-bee.md"
"modal-toast-dialog-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","modal-toast-dialog-stinger","web-apps","agents/modal-toast-dialog-worker-bee.md"
"neon-drizzle-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","neon-drizzle-stinger","web-apps","agents/neon-drizzle-worker-bee.md"
"payments-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","payments-stinger","web-apps","agents/payments-worker-bee.md"
"posthog-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","posthog-stinger","web-apps","agents/posthog-worker-bee.md"
"preact-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","preact-stinger","web-apps","agents/preact-worker-bee.md"
"product-tour-onboarding-ui-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","product-tour-onboarding-ui-stinger","web-apps, marketing","agents/product-tour-onboarding-ui-worker-bee.md"
"python-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","python-stinger","web-apps","agents/python-worker-bee.md"
"quality-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","quality-stinger","honeybee-core","agents/quality-worker-bee.md"
"react-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","react-stinger","web-apps, 101-tutorials","agents/react-worker-bee.md"
"readme-writing-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","readme-writing-stinger","websites, 101-tutorials","agents/readme-writing-worker-bee.md"
"retrieval-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","retrieval-stinger","web-apps","agents/retrieval-worker-bee.md"
"retrospective-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","retrospective-stinger","honeybee-core","agents/retrospective-worker-bee.md"
"runbook-writing-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","runbook-writing-stinger","honeybee-core","agents/runbook-writing-worker-bee.md"
"rust-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","rust-stinger","web-apps","agents/rust-worker-bee.md"
"security-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","security-stinger","honeybee-core, danger-zone","agents/security-worker-bee.md"
"sentry-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","sentry-stinger","web-apps","agents/sentry-worker-bee.md"
"seo-aeo-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","seo-aeo-stinger","websites, marketing","agents/seo-aeo-worker-bee.md"
"shadcn-svelte-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","shadcn-svelte-stinger","websites","agents/shadcn-svelte-worker-bee.md"
"slack-app-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","slack-app-stinger","honeybee-core","agents/slack-app-worker-bee.md"
"status-page-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","status-page-stinger","honeybee-core","agents/status-page-worker-bee.md"
"svelte-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","svelte-stinger","websites, web-apps, 101-tutorials","agents/svelte-worker-bee.md"
"tailscale-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","tailscale-stinger","honeybee-core","agents/tailscale-worker-bee.md"
"tailwind-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","tailwind-stinger","websites","agents/tailwind-worker-bee.md"
"tanstack-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","tanstack-stinger","web-apps","agents/tanstack-worker-bee.md"
"tauri-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","tauri-stinger","web-apps","agents/tauri-worker-bee.md"
"technical-writing-craft-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","technical-writing-craft-stinger","honeybee-core","agents/technical-writing-craft-worker-bee.md"
"telegram-bot-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","telegram-bot-stinger","honeybee-core","agents/telegram-bot-worker-bee.md"
"terminal-bash-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","terminal-bash-stinger","my-computer","agents/terminal-bash-worker-bee.md"
"typescript-node-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","typescript-node-stinger","web-apps, 101-tutorials","agents/typescript-node-worker-bee.md"
"typography-font-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","typography-font-stinger","websites","agents/typography-font-worker-bee.md"
"ux-ui-svelte-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","ux-ui-svelte-stinger","honeybee-core","agents/ux-ui-svelte-worker-bee.md"
"vector-store-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","vector-store-stinger","web-apps","agents/vector-store-worker-bee.md"
"vercel-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","vercel-stinger","web-apps","agents/vercel-worker-bee.md"
"website-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","website-stinger","websites, 101-tutorials","agents/website-worker-bee.md"
"wiki-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","wiki-stinger","honeybee-core","agents/wiki-worker-bee.md"
"workos-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","workos-stinger","web-apps","agents/workos-worker-bee.md"
"adr-writing-stinger","skills","beekeeper","smoke-it","beekeeper-suit","adr-writing-worker-bee","honeybee-core","skills/adr-writing-stinger"
"agile-scrum-stinger","skills","beekeeper","smoke-it","beekeeper-suit","agile-scrum-worker-bee","honeybee-core","skills/agile-scrum-stinger"
"ai-coding-tools-stinger","skills","beekeeper","smoke-it","beekeeper-suit","ai-coding-tools-worker-bee","my-computer","skills/ai-coding-tools-stinger"
"ai-tools-platform-stinger","skills","beekeeper","smoke-it","beekeeper-suit","ai-tools-platform-worker-bee","my-computer","skills/ai-tools-platform-stinger"
"api-docs-stinger","skills","beekeeper","smoke-it","beekeeper-suit","api-docs-worker-bee","websites","skills/api-docs-stinger"
"app-store-submission-stinger","skills","beekeeper","smoke-it","beekeeper-suit","app-store-submission-worker-bee","honeybee-core","skills/app-store-submission-stinger"
"archivist-stinger","skills","beekeeper","smoke-it","beekeeper-suit","archivist-worker-bee","honeybee-core","skills/archivist-stinger"
"asset-stinger","skills","beekeeper","smoke-it","beekeeper-suit","asset-worker-bee","honeybee-core","skills/asset-stinger"
"auth-stinger","skills","beekeeper","smoke-it","beekeeper-suit","auth-worker-bee","web-apps","skills/auth-stinger"
"beekeeper-suit","skills","beekeeper","smoke-it","beekeeper-suit","orchestrator exception","honeybee-core, 101-tutorials","skills/beekeeper-suit"
"branching-strategy-stinger","skills","beekeeper","smoke-it","beekeeper-suit","branching-strategy-worker-bee","honeybee-core","skills/branching-strategy-stinger"
"changelog-release-notes-stinger","skills","beekeeper","smoke-it","beekeeper-suit","changelog-release-notes-worker-bee","honeybee-core, marketing","skills/changelog-release-notes-stinger"
"ci-release-stinger","skills","beekeeper","smoke-it","beekeeper-suit","ci-release-worker-bee","honeybee-core","skills/ci-release-stinger"
"code-review-pr-stinger","skills","beekeeper","smoke-it","beekeeper-suit","code-review-pr-worker-bee","honeybee-core","skills/code-review-pr-stinger"
"competitive-research-stinger","skills","beekeeper","smoke-it","beekeeper-suit","competitive-research-worker-bee","marketing","skills/competitive-research-stinger"
"cron-scheduling-stinger","skills","beekeeper","smoke-it","beekeeper-suit","cron-scheduling-worker-bee","honeybee-core","skills/cron-scheduling-stinger"
"csv-xlsx-import-export-stinger","skills","beekeeper","smoke-it","beekeeper-suit","csv-xlsx-import-export-worker-bee","honeybee-core","skills/csv-xlsx-import-export-stinger"
"cursor-ide-stinger","skills","beekeeper","smoke-it","beekeeper-suit","cursor-ide-worker-bee","my-computer","skills/cursor-ide-stinger"
"dark-mode-theming-stinger","skills","beekeeper","smoke-it","beekeeper-suit","dark-mode-theming-worker-bee","web-apps","skills/dark-mode-theming-stinger"
"db-stinger","skills","beekeeper","smoke-it","beekeeper-suit","db-worker-bee","web-apps","skills/db-stinger"
"dependency-audit-stinger","skills","beekeeper","smoke-it","beekeeper-suit","dependency-audit-worker-bee","honeybee-core, danger-zone","skills/dependency-audit-stinger"
"design-system-stinger","skills","beekeeper","smoke-it","beekeeper-suit","design-system-worker-bee","websites","skills/design-system-stinger"
"devops-stinger","skills","beekeeper","smoke-it","beekeeper-suit","devops-worker-bee","honeybee-core, web-apps","skills/devops-stinger"
"discord-bot-stinger","skills","beekeeper","smoke-it","beekeeper-suit","discord-bot-worker-bee","honeybee-core","skills/discord-bot-stinger"
"docs-site-stinger","skills","beekeeper","smoke-it","beekeeper-suit","docs-site-worker-bee","websites, 101-tutorials","skills/docs-site-stinger"
"doppler-stinger","skills","beekeeper","smoke-it","beekeeper-suit","doppler-worker-bee","honeybee-core","skills/doppler-stinger"
"embeddings-runtime-stinger","skills","beekeeper","smoke-it","beekeeper-suit","embeddings-runtime-worker-bee","web-apps","skills/embeddings-runtime-stinger"
"estimation-stinger","skills","beekeeper","smoke-it","beekeeper-suit","estimation-worker-bee","honeybee-core","skills/estimation-stinger"
"font-loading-stinger","skills","beekeeper","smoke-it","beekeeper-suit","font-loading-worker-bee","websites","skills/font-loading-stinger"
"get-started-stinger","skills","beekeeper","smoke-it","beekeeper-suit","orchestrator exception","honeybee-core, 101-tutorials","skills/get-started-stinger"
"git-stinger","skills","beekeeper","smoke-it","beekeeper-suit","git-worker-bee","honeybee-core, danger-zone","skills/git-stinger"
"github-repo-health-stinger","skills","beekeeper","smoke-it","beekeeper-suit","github-repo-health-worker-bee","honeybee-core, danger-zone","skills/github-repo-health-stinger"
"gohighlevel-stinger","skills","beekeeper","smoke-it","beekeeper-suit","gohighlevel-worker-bee","web-apps","skills/gohighlevel-stinger"
"harness-integration-stinger","skills","beekeeper","smoke-it","beekeeper-suit","harness-integration-worker-bee","web-apps, my-computer","skills/harness-integration-stinger"
"highlevel-ai-studio-stinger","skills","beekeeper","smoke-it","beekeeper-suit","highlevel-ai-studio-worker-bee","honeybee-core","skills/highlevel-ai-studio-stinger"
"http-rest-fundamentals-stinger","skills","beekeeper","smoke-it","beekeeper-suit","http-rest-fundamentals-worker-bee","honeybee-core","skills/http-rest-fundamentals-stinger"
"icon-system-stinger","skills","beekeeper","smoke-it","beekeeper-suit","icon-system-worker-bee","web-apps","skills/icon-system-stinger"
"image-optimization-stinger","skills","beekeeper","smoke-it","beekeeper-suit","image-optimization-worker-bee","websites","skills/image-optimization-stinger"
"impeccable-stinger","skills","beekeeper","smoke-it","beekeeper-suit","impeccable-worker-bee","websites","skills/impeccable-stinger"
"kanban-flow-stinger","skills","beekeeper","smoke-it","beekeeper-suit","kanban-flow-worker-bee","honeybee-core","skills/kanban-flow-stinger"
"knowledge-stinger","skills","beekeeper","smoke-it","beekeeper-suit","knowledge-worker-bee","honeybee-core, 101-tutorials","skills/knowledge-stinger"
"library-stinger","skills","beekeeper","smoke-it","beekeeper-suit","library-worker-bee","honeybee-core, 101-tutorials","skills/library-stinger"
"lifecycle-email-stinger","skills","beekeeper","smoke-it","beekeeper-suit","lifecycle-email-worker-bee","marketing","skills/lifecycle-email-stinger"
"lighthouse-pagespeed-stinger","skills","beekeeper","smoke-it","beekeeper-suit","lighthouse-pagespeed-worker-bee","honeybee-core","skills/lighthouse-pagespeed-stinger"
"markdown-mdx-content-pipeline-stinger","skills","beekeeper","smoke-it","beekeeper-suit","markdown-mdx-content-pipeline-worker-bee","websites","skills/markdown-mdx-content-pipeline-stinger"
"mcp-protocol-stinger","skills","beekeeper","smoke-it","beekeeper-suit","mcp-protocol-worker-bee","web-apps","skills/mcp-protocol-stinger"
"mcp-tool-docs-stinger","skills","beekeeper","smoke-it","beekeeper-suit","mcp-tool-docs-worker-bee","honeybee-core","skills/mcp-tool-docs-stinger"
"mind-stinger","skills","beekeeper","smoke-it","beekeeper-suit","mind-worker-bee","honeybee-core","skills/mind-stinger"
"modal-toast-dialog-stinger","skills","beekeeper","smoke-it","beekeeper-suit","modal-toast-dialog-worker-bee","web-apps","skills/modal-toast-dialog-stinger"
"neon-drizzle-stinger","skills","beekeeper","smoke-it","beekeeper-suit","neon-drizzle-worker-bee","web-apps","skills/neon-drizzle-stinger"
"payments-stinger","skills","beekeeper","smoke-it","beekeeper-suit","payments-worker-bee","web-apps","skills/payments-stinger"
"posthog-stinger","skills","beekeeper","smoke-it","beekeeper-suit","posthog-worker-bee","web-apps","skills/posthog-stinger"
"preact-stinger","skills","beekeeper","smoke-it","beekeeper-suit","preact-worker-bee","web-apps","skills/preact-stinger"
"product-tour-onboarding-ui-stinger","skills","beekeeper","smoke-it","beekeeper-suit","product-tour-onboarding-ui-worker-bee","web-apps, marketing","skills/product-tour-onboarding-ui-stinger"
"python-stinger","skills","beekeeper","smoke-it","beekeeper-suit","python-worker-bee","web-apps","skills/python-stinger"
"quality-stinger","skills","beekeeper","smoke-it","beekeeper-suit","quality-worker-bee","honeybee-core","skills/quality-stinger"
"queen-bee-stinger","skills","beekeeper","smoke-it","beekeeper-suit","orchestrator exception","honeybee-core","skills/queen-bee-stinger"
"react-stinger","skills","beekeeper","smoke-it","beekeeper-suit","react-worker-bee","web-apps, 101-tutorials","skills/react-stinger"
"readme-writing-stinger","skills","beekeeper","smoke-it","beekeeper-suit","readme-writing-worker-bee","websites, 101-tutorials","skills/readme-writing-stinger"
"retrieval-stinger","skills","beekeeper","smoke-it","beekeeper-suit","retrieval-worker-bee","web-apps","skills/retrieval-stinger"
"retrospective-stinger","skills","beekeeper","smoke-it","beekeeper-suit","retrospective-worker-bee","honeybee-core","skills/retrospective-stinger"
"runbook-writing-stinger","skills","beekeeper","smoke-it","beekeeper-suit","runbook-writing-worker-bee","honeybee-core","skills/runbook-writing-stinger"
"rust-stinger","skills","beekeeper","smoke-it","beekeeper-suit","rust-worker-bee","web-apps","skills/rust-stinger"
"security-stinger","skills","beekeeper","smoke-it","beekeeper-suit","security-worker-bee","honeybee-core, danger-zone","skills/security-stinger"
"sentry-stinger","skills","beekeeper","smoke-it","beekeeper-suit","sentry-worker-bee","web-apps","skills/sentry-stinger"
"seo-aeo-stinger","skills","beekeeper","smoke-it","beekeeper-suit","seo-aeo-worker-bee","websites, marketing","skills/seo-aeo-stinger"
"shadcn-svelte-stinger","skills","beekeeper","smoke-it","beekeeper-suit","shadcn-svelte-worker-bee","websites","skills/shadcn-svelte-stinger"
"slack-app-stinger","skills","beekeeper","smoke-it","beekeeper-suit","slack-app-worker-bee","honeybee-core","skills/slack-app-stinger"
"status-page-stinger","skills","beekeeper","smoke-it","beekeeper-suit","status-page-worker-bee","honeybee-core","skills/status-page-stinger"
"svelte-stinger","skills","beekeeper","smoke-it","beekeeper-suit","svelte-worker-bee","websites, web-apps, 101-tutorials","skills/svelte-stinger"
"tailscale-stinger","skills","beekeeper","smoke-it","beekeeper-suit","tailscale-worker-bee","honeybee-core","skills/tailscale-stinger"
"tailwind-stinger","skills","beekeeper","smoke-it","beekeeper-suit","tailwind-worker-bee","websites","skills/tailwind-stinger"
"tanstack-stinger","skills","beekeeper","smoke-it","beekeeper-suit","tanstack-worker-bee","web-apps","skills/tanstack-stinger"
"tauri-stinger","skills","beekeeper","smoke-it","beekeeper-suit","tauri-worker-bee","web-apps","skills/tauri-stinger"
"technical-writing-craft-stinger","skills","beekeeper","smoke-it","beekeeper-suit","technical-writing-craft-worker-bee","honeybee-core","skills/technical-writing-craft-stinger"
"telegram-bot-stinger","skills","beekeeper","smoke-it","beekeeper-suit","telegram-bot-worker-bee","honeybee-core","skills/telegram-bot-stinger"
"terminal-bash-stinger","skills","beekeeper","smoke-it","beekeeper-suit","terminal-bash-worker-bee","my-computer","skills/terminal-bash-stinger"
"typescript-node-stinger","skills","beekeeper","smoke-it","beekeeper-suit","typescript-node-worker-bee","web-apps, 101-tutorials","skills/typescript-node-stinger"
"typography-font-stinger","skills","beekeeper","smoke-it","beekeeper-suit","typography-font-worker-bee","websites","skills/typography-font-stinger"
"ux-ui-svelte-stinger","skills","beekeeper","smoke-it","beekeeper-suit","ux-ui-svelte-worker-bee","honeybee-core","skills/ux-ui-svelte-stinger"
"vector-store-stinger","skills","beekeeper","smoke-it","beekeeper-suit","vector-store-worker-bee","web-apps","skills/vector-store-stinger"
"vercel-stinger","skills","beekeeper","smoke-it","beekeeper-suit","vercel-worker-bee","web-apps","skills/vercel-stinger"
"website-stinger","skills","beekeeper","smoke-it","beekeeper-suit","website-worker-bee","websites, 101-tutorials","skills/website-stinger"
"wiki-stinger","skills","beekeeper","smoke-it","beekeeper-suit","wiki-worker-bee","honeybee-core","skills/wiki-stinger"
"workos-stinger","skills","beekeeper","smoke-it","beekeeper-suit","workos-worker-bee","web-apps","skills/workos-stinger"
"cold-outreach-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","cold-outreach-stinger","marketing","agents/cold-outreach-worker-bee.md"
"blogging-content-strategy-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","blogging-content-strategy-stinger","marketing","agents/blogging-content-strategy-worker-bee.md"
"go-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","go-stinger","web-apps","agents/go-worker-bee.md"
"live-chat-support-stinger","skills","beekeeper","smoke-it","beekeeper-suit","live-chat-support-worker-bee","web-apps","skills/live-chat-support-stinger"
"hiring-ats-stinger","skills","beekeeper","smoke-it","beekeeper-suit","hiring-ats-worker-bee","web-apps","skills/hiring-ats-stinger"
"incorporation-startup-stack-stinger","skills","beekeeper","smoke-it","beekeeper-suit","incorporation-startup-stack-worker-bee","web-apps","skills/incorporation-startup-stack-stinger"
"live-chat-support-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","live-chat-support-stinger","web-apps","agents/live-chat-support-worker-bee.md"
"customer-support-tooling-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","customer-support-tooling-stinger","web-apps, marketing","agents/customer-support-tooling-worker-bee.md"
"react-to-svelte-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","react-to-svelte-stinger","web-apps","agents/react-to-svelte-worker-bee.md"
"investor-cap-table-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","investor-cap-table-stinger","web-apps","agents/investor-cap-table-worker-bee.md"
"ux-ui-stinger","skills","beekeeper","smoke-it","beekeeper-suit","ux-ui-worker-bee","honeybee-core","skills/ux-ui-stinger"
"newsletter-platform-stinger","skills","beekeeper","smoke-it","beekeeper-suit","newsletter-platform-worker-bee","marketing","skills/newsletter-platform-stinger"
"review-funnels-g2-stinger","skills","beekeeper","smoke-it","beekeeper-suit","review-funnels-g2-worker-bee","marketing","skills/review-funnels-g2-stinger"
"hr-payroll-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","hr-payroll-stinger","web-apps","agents/hr-payroll-worker-bee.md"
"okr-goal-setting-stinger","skills","beekeeper","smoke-it","beekeeper-suit","okr-goal-setting-worker-bee","web-apps","skills/okr-goal-setting-stinger"
"alt-ads-platforms-stinger","skills","beekeeper","smoke-it","beekeeper-suit","alt-ads-platforms-worker-bee","marketing","skills/alt-ads-platforms-stinger"
"incorporation-startup-stack-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","incorporation-startup-stack-stinger","web-apps","agents/incorporation-startup-stack-worker-bee.md"
"okr-goal-setting-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","okr-goal-setting-stinger","web-apps","agents/okr-goal-setting-worker-bee.md"
"investor-cap-table-stinger","skills","beekeeper","smoke-it","beekeeper-suit","investor-cap-table-worker-bee","web-apps","skills/investor-cap-table-stinger"
"product-feedback-roadmap-stinger","skills","beekeeper","smoke-it","beekeeper-suit","product-feedback-roadmap-worker-bee","web-apps, marketing","skills/product-feedback-roadmap-stinger"
"customer-support-tooling-stinger","skills","beekeeper","smoke-it","beekeeper-suit","customer-support-tooling-worker-bee","web-apps, marketing","skills/customer-support-tooling-stinger"
"lovable-audit-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","lovable-audit-stinger","web-apps, danger-zone","agents/lovable-audit-worker-bee.md"
"ux-ui-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","ux-ui-stinger","honeybee-core","agents/ux-ui-worker-bee.md"
"legal-docs-stinger","skills","beekeeper","smoke-it","beekeeper-suit","legal-docs-worker-bee","web-apps","skills/legal-docs-stinger"
"bifrost-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","bifrost-stinger","web-apps","agents/bifrost-worker-bee.md"
"alt-ads-platforms-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","alt-ads-platforms-stinger","marketing","agents/alt-ads-platforms-worker-bee.md"
"knowledge-base-help-center-stinger","skills","beekeeper","smoke-it","beekeeper-suit","knowledge-base-help-center-worker-bee","web-apps","skills/knowledge-base-help-center-stinger"
